Date,Event Description,AM Peak - Late,AM Peak - Canceled,AM Peak - Terminated,PM Peak - Late,PM Peak - Canceled,PM Peak - Terminated,Off Peak - Late,Off Peak - Canceled,Off Peak - Terminated
8/22/2023,Amtrak related - speed restriction in Line 1 at F Interlocking,0,0,0,22,14,0,29,0,0
8/20/2023,PSE&G power outage near Merrick,0,0,0,0,0,0,25,0,0
8/18/2023,Signal trouble due to lightning strikes,14,0,0,0,0,0,17,0,4
8/17/2023,GCT operating system shut down,6,0,1,0,0,0,6,0,2
8/16/2023,No.172 Equipment trouble at Jamaica,0,0,0,11,0,1,2,0,0
8/16/2023,Blown power supply at Nassau 3,0,0,0,8,0,0,4,0,0
8/13/2023,Heavy summer loading,0,0,0,0,0,0,14,0,0
8/11/2023,Unable to normalize 1123 switch at Harold Interlocking,0,0,0,5,0,0,12,0,0
8/9/2023,Amtrak related - speed restriction in Line 1 at F Interlocking,0,0,0,36,10,0,31,0,0
8/8/2023,NO. 39 disabled at Islip,2,0,1,1,0,0,14,6,0
8/8/2023,Track circuit failure at Amott Interlocking,3,0,0,0,0,0,15,0,0
8/8/2023,Track circuit failure - 3 station Atlantic Terminal,0,0,0,4,0,0,11,2,0
8/7/2023,Track circuit failure at Queens Interlocking,45,0,0,0,0,0,4,0,0
8/5/2023,Loss of supervisory system at Huntington,0,0,0,0,0,0,13,1,1
8/4/2023,Derailment on Mainline 4 East of Hall Interlocking,1,4,0,2,4,0,37,0,0
8/4/2023,Unable to normalize 25 switch at Jay Interlocking,10,0,0,0,0,0,0,0,0
8/3/2023,Derailment on Mainline 4 East of Hall Interlocking,0,0,0,37,3,0,45,1,1
8/1/2023,Switch trouble at Harold,0,0,0,16,0,0,3,0,0
8/1/2023,Forest Hills concert loading,0,0,0,12,0,0,1,0,0
8/1/2023,NO. 4961 gapped at Queens,0,0,0,0,0,0,10,0,0
7/28/2023,Switch trouble at Harold,0,0,0,15,0,0,2,0,0
7/27/2023,Forest Hills Stadium Loading,0,0,0,4,0,0,17,0,0
7/26/2023,Unusual Occurrence (Miscommunication),0,0,0,14,0,0,0,0,0
7/26/2023,Trespasser on the tracks eat of Deer Park Station,0,0,0,7,0,0,2,2,0
